,second_of_day,day_of_year,indoor_temperature,heating_power,diffuse_horizontal_solar_radiation,normal_direct_solar_radiation,global_horizontal_solar_radiation,outside_temperature
0,0,1,293.15,0.0,0.0,0.0,0.0,280.04999999999995
1,900,1,292.2618126691035,0.0,0.0,0.0,0.0,279.95915178571425
2,1800,1,292.15966057328984,0.0,0.0,0.0,0.0,279.9452380952381
3,2700,1,292.1195094959075,0.0,0.0,0.0,0.0,279.9837053571428
4,3600,1,292.0870558112319,0.0,0.0,0.0,0.0,280.04999999999995
5,4500,1,292.0614692966595,0.0,0.0,0.0,0.0,280.24981217334494
6,5400,1,292.0487403805909,0.0,0.0,0.0,0.0,280.60247531939604
7,6300,1,292.0410174840944,0.0,0.0,0.0,0.0,280.95390080574913
8,7200,1,292.02746898667283,0.0,0.0,0.0,0.0,281.15
9,8100,1,291.98967519767126,0.0,0.0,0.0,0.0,280.8626524390244
10,9000,1,291.9160440237051,0.0,0.0,0.0,0.0,280.15
11,9900,1,291.8294613230325,0.0,0.0,0.0,0.0,279.4373475609756
12,10800,1,291.75961394786435,0.0,0.0,0.0,0.0,279.15
13,11700,1,291.7246118763838,0.0,0.0,0.0,0.0,279.3270238713025
14,12600,1,291.7064923686711,0.0,0.0,0.0,0.0,279.63832381940836
15,13500,1,291.6933493336877,0.0,0.0,0.0,0.0,279.95546185781006
16,14400,1,291.6759398030976,0.0,0.0,0.0,0.0,280.15
17,15300,1,291.6497671228219,0.0,0.0,0.0,0.0,280.2370859526112
18,16200,1,291.62060761476494,0.0,0.0,0.0,0.0,280.29180367504836
19,17100,1,291.5873921942534,0.0,0.0,0.0,0.0,280.2756195599613
20,18000,1,291.54739859058776,0.0,0.0,0.0,0.0,280.15
21,18900,1,291.49487614276234,0.0,0.0,0.0,0.0,279.80986201298697
22,19800,1,291.42672544133825,0.0,0.0,0.0,0.0,279.2944805194805
23,20700,1,291.3528424584539,0.0,0.0,0.0,0.0,278.78185876623377
24,21600,1,291.2856998788947,8988.360903565122,0.0,0.0,0.0,278.45
25,22500,1,294.442556724081,8988.360903565122,0.0,0.0,0.0,278.2755494505494
26,23400,1,294.4885440799161,8988.360903565122,0.0,0.0,0.0,278.1252747252747
27,24300,1,294.5091373047254,8988.360903565122,0.0,0.0,0.0,278.0123626373626
28,25200,1,294.5256734280983,8988.360903565122,0.0,0.0,0.0,277.95
29,26100,1,294.5406426431617,8988.360903565122,0.0,0.0,0.0,277.92442307692306
30,27000,1,294.5529641922375,8988.360903565122,0.0,0.0,0.0,277.9061538461538
31,27900,1,294.56214876812743,8988.360903565122,0.0,0.0,0.0,277.8848076923077
32,28800,1,294.56794501867046,8988.360903565122,0.0,0.0,0.0,277.84999999999997
33,29700,1,294.5703346702993,8988.360903565122,0.0,0.0,0.0,277.8024519230769
34,30600,1,294.5702447311404,8988.360903565122,0.0,0.0,0.0,277.7515384615384
35,31500,1,294.60495112268643,8988.360903565122,3.1562500000000004,19.046602470930235,5.789375000000001,277.69985576923074
36,32400,1,294.7437109070616,8988.360903565122,10.750000000000002,66.62427325581396,20.355000000000004,277.65
37,33300,1,294.9314368161978,8988.360903565122,19.968750000000004,128.3898074127907,39.493125,277.6026442307692
38,34200,1,295.11998023589535,8988.360903565122,28.0,190.0,59.0,277.5634615384615
39,35100,1,296.14308819259855,0.0,34.53125,254.27466627141985,77.96471698113209,277.542548076923
40,36000,1,295.7865789393624,0.0,41.0,326.0643232354141,97.69924528301887,277.54999999999995
41,36900,1,295.8603971214592,0.0,47.21875,394.07181858170134,117.33415094339622,277.703125
42,37800,1,296.23991311158534,0.0,53.0,447.0,136.0,278.025
43,38700,1,295.1924254854855,0.0,57.676809210526315,483.24196201188454,153.18076431084106,278.384375
44,39600,1,294.6996695938012,8988.360903565122,60.88815789473684,510.6057583474816,169.00719539494725,278.65
45,40500,1,296.00524891037196,0.0,62.905427631578945,531.9166755093379,183.5800287815798,278.82578125
46,41400,1,295.358173093044,0.0,64.0,550.0,197.0,278.99375
47,42300,1,294.8638400979292,8988.360903565122,64.59122415413533,566.8503734574583,208.0153775925513,279.13984374999995
48,43200,1,296.1577880214997,0.0,64.85291353383458,582.1897055639749,215.66388826940232,279.25
49,44100,1,295.51203117344545,0.0,64.68814614661655,595.434184888504,220.4804548115522,279.33296874999996
50,45000,1,295.02801307209137,8988.360903565122,64.0,606.0,223.0,279.40875
51,45900,1,296.3332498317974,0.0,62.944614955357146,610.9932276550879,223.2642606160287,279.48015625
52,46800,1,295.69044386593316,0.0,61.75111607142857,609.7000612189371,220.73868620414672,279.54999999999995
53,47700,1,295.6283367548087,0.0,60.432059151785715,604.8068641733176,215.09376869019138,279.6095454545454
54,48600,1,295.6669409727895,0.0,59.0,599.0,206.0,279.6554545454545
55,49500,1,296.15155238843624,0.0,57.511021205357146,587.1356102195946,194.1689810888738,279.69863636363635
56,50400,1,296.37632163596606,0.0,55.847098214285715,563.6465371621622,180.5453132066938,279.75
57,51300,1,294.7921149071756,8988.360903565122,53.75962611607143,530.5841955236486,165.1489887211669,279.99636363636364
58,52200,1,295.05116545538357,8988.360903565122,51.0,490.0,148.0,280.46454545454543
59,53100,1,295.0809456378914,8988.360903565122,47.21642857142857,388.8780088682432,128.58041468792402,280.9254545454545
60,54000,1,296.16569359870573,0.0,42.505714285714284,223.1693412162162,107.48309588421529,281.15
61,54900,1,295.06830115646784,8988.360903565122,37.292142857142856,68.37600295608104,86.3942291383989,280.9025
62,55800,1,294.903866176939,8988.360903565122,32.0,0.0,67.0,280.31
63,56700,1,296.0983900089884,0.0,26.36307692307692,0.0,49.48878588516746,279.6875
64,57600,1,295.6045099323451,0.0,20.24153846153846,0.0,33.70494417862839,279.34999999999997
65,58500,1,294.75278670658753,8988.360903565122,14.249230769230763,0.0,20.818630382775126,279.28249999999997
66,59400,1,295.1330002581225,8988.360903565122,9.0,0.0,12.0,279.26
67,60300,1,295.13044755092875,8988.360903565122,4.965144230769231,0.0,6.527960526315789,279.28249999999997
68,61200,1,295.1154270016528,8988.360903565122,2.163461538461539,0.0,2.802631578947368,279.34999999999997
69,62100,1,295.1082693598201,8988.360903565122,0.5300480769230766,0.0,0.6759868421052602,279.51104166666664
70,63000,1,295.1119991940996,8988.360903565122,0.0,0.0,0.0,279.75611111111107
71,63900,1,295.12111284400544,8988.360903565122,0.0,0.0,0.0,279.99812499999996
72,64800,1,295.1276332552677,8988.360903565122,0.0,0.0,0.0,280.15
73,65700,1,295.1192813899356,8988.360903565122,0.0,0.0,0.0,279.98509615384614
74,66600,1,295.08646783642325,8988.360903565122,0.0,0.0,0.0,279.51581196581196
75,67500,1,295.04326231590215,8988.360903565122,0.0,0.0,0.0,279.01362179487177
76,68400,1,295.0085469949355,8988.360903565122,0.0,0.0,0.0,278.75
77,69300,1,295.0021462364497,8988.360903565122,0.0,0.0,0.0,278.97379807692306
78,70200,1,295.02534870887683,8988.360903565122,0.0,0.0,0.0,279.51730769230767
79,71100,1,295.05713760422276,8988.360903565122,0.0,0.0,0.0,280.02716346153846
